"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\frontend\react\nocapcut\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\frontend\react\nocapcut\src\components\App.tsx", "TypeScript JSX", 0, 0, 306, 0, 0, 21, 327
"c:\frontend\react\nocapcut\src\components\ButtonWithIcon.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 4, 20
"c:\frontend\react\nocapcut\src\components\DraggableAndResizableText.tsx", "TypeScript JSX", 0, 0, 140, 0, 0, 21, 161
"c:\frontend\react\nocapcut\src\components\FilesPreview.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 5, 88
"c:\frontend\react\nocapcut\src\components\Home.tsx", "TypeScript JSX", 0, 0, 66, 0, 0, 5, 71
"c:\frontend\react\nocapcut\src\components\ImportButton.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 5, 25
"c:\frontend\react\nocapcut\src\components\ImportFiles.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 4, 32
"c:\frontend\react\nocapcut\src\components\ShowVideoDialog.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 5, 39
"c:\frontend\react\nocapcut\src\components\TimelinePlayhead.tsx", "TypeScript JSX", 0, 0, 65, 0, 0, 7, 72
"c:\frontend\react\nocapcut\src\components\index.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"c:\frontend\react\nocapcut\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 121, 0, 0, 13, 134
"c:\frontend\react\nocapcut\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 4, 22
"c:\frontend\react\nocapcut\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 4, 23
"c:\frontend\react\nocapcut\src\constants\index.ts", "TypeScript", 2, 0, 0, 0, 8, 0, 10
"c:\frontend\react\nocapcut\src\customTypes\index.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 13
"c:\frontend\react\nocapcut\src\hooks\useClickOutside.ts", "TypeScript", 30, 0, 0, 0, 3, 5, 38
"c:\frontend\react\nocapcut\src\hooks\useFilesPreview.ts", "TypeScript", 60, 0, 0, 0, 0, 11, 71
"c:\frontend\react\nocapcut\src\hooks\useFilesUpload.ts", "TypeScript", 48, 0, 0, 0, 1, 5, 54
"c:\frontend\react\nocapcut\src\hooks\useVideoEditing.ts", "TypeScript", 24, 0, 0, 0, 62, 9, 95
"c:\frontend\react\nocapcut\src\hooks\useVideoPlayer.ts", "TypeScript", 72, 0, 0, 0, 0, 13, 85
"c:\frontend\react\nocapcut\src\index.css", "PostCSS", 0, 133, 0, 0, 0, 8, 141
"c:\frontend\react\nocapcut\src\lib\utils.ts", "TypeScript", 5, 0, 0, 0, 0, 2, 7
"c:\frontend\react\nocapcut\src\main.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 2, 6
"c:\frontend\react\nocapcut\src\router\AppRouter.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 4, 17
"c:\frontend\react\nocapcut\src\utils\index.ts", "TypeScript", 85, 0, 0, 0, 3, 15, 103
"c:\frontend\react\nocapcut\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 1, 1, 2
"Total", "-", 338, 133, 933, 1, 78, 179, 1662
