"filename", "language", "TypeScript", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\frontend\react\nocapcut\src\components\App.tsx", "TypeScript JSX", 0, 0, -93, 0, -6, -99
"c:\frontend\react\nocapcut\src\components\DraggableAndResizableRect.tsx", "TypeScript JSX", 0, 0, 51, 0, 4, 55
"c:\frontend\react\nocapcut\src\components\DraggableAndResizableText.tsx", "TypeScript JSX", 0, 0, 19, 0, 1, 20
"c:\frontend\react\nocapcut\src\components\EditTextForm.tsx", "TypeScript JSX", 0, 0, 35, 0, 4, 39
"c:\frontend\react\nocapcut\src\components\ExportVideoDialog.tsx", "TypeScript JSX", 0, 0, 96, 0, 5, 101
"c:\frontend\react\nocapcut\src\components\ImportButton.tsx", "TypeScript JSX", 0, 0, 5, 0, -1, 4
"c:\frontend\react\nocapcut\src\components\ImportFiles.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 4
"c:\frontend\react\nocapcut\src\components\VideoPlayer.tsx", "TypeScript JSX", 0, 0, 75, 0, 5, 80
"c:\frontend\react\nocapcut\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 54, 0, 6, 60
"c:\frontend\react\nocapcut\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 58, 0, 7, 65
"c:\frontend\react\nocapcut\src\components\ui\toggle-group.tsx", "TypeScript JSX", 0, 0, 65, 0, 7, 72
"c:\frontend\react\nocapcut\src\components\ui\toggle.tsx", "TypeScript JSX", 0, 0, 42, 0, 6, 48
"c:\frontend\react\nocapcut\src\constants\index.ts", "TypeScript", 0, 0, 0, 6, 0, 6
"c:\frontend\react\nocapcut\src\customTypes\index.ts", "TypeScript", 31, 0, 0, 0, 6, 37
"c:\frontend\react\nocapcut\src\hooks\useFilesUpload.ts", "TypeScript", 0, 0, 0, -1, 0, -1
"c:\frontend\react\nocapcut\src\hooks\useVideoEditing.ts", "TypeScript", 172, 0, 0, -62, 12, 122
"c:\frontend\react\nocapcut\src\hooks\useVideoPlayer.ts", "TypeScript", 20, 0, 0, 0, 2, 22
"c:\frontend\react\nocapcut\src\index.css", "PostCSS", 0, 4, 0, 0, 0, 4
"c:\frontend\react\nocapcut\src\utils\index.ts", "TypeScript", 0, 0, 0, -3, 0, -3
"Total", "-", 223, 4, 411, -60, 58, 636
